Year;Sexo productor;Area (Ha);Arboles_totales;Edad promedio plantas;Aluviales;Andisoles;Grumosoles;Halomorficos;Latosoles_arcillosos_acidos;Latosoles_arcillo_rojizos;Litosoles;Regosoles;Latitud;Longitud;Altura;Porcentaje_Injertacion;Aplica poda;Maneja sombra;Fertilizacion organica;Fertilizacion quimica;Presencia plagas y enfermedades;recibe AT;Temperatura ;lluvia;Perdidas (qq);Produccion efectiva (qq)
1;Hombre;0.5;425;7;No;Si;No;No;No;No;Si;No;13.769056;-89.652689;584;0;Si;Si;Si;Si;No;No;21;125;1.19416;3.29648
1;Hombre;1.75;500;13;No;No;No;No;Si;Si;No;No;13.3918;-88.5846;786.9;0;Si;Si;Si;Si;Si;Si;25;129;0.30008;9.266667
1;Mujer;0.7;450;4;No;Si;No;No;No;No;No;No;13.521559;-88.45975;648;0;Si;Si;No;Si;No;Si;22;99;0.30536;1.61744
1;Hombre;0.2;50;5;No;No;No;No;No;Si;No;No;13.7366037;-88.222612;1206;0;Si;Si;Si;Si;No;Si;27;8;0.0264;0.176
1;Hombre;0.4;300;3;No;Si;No;No;No;No;No;No;13.4796117;-88.35549;896;100;Si;Si;Si;Si;Si;Si;20;57;0.31768;1.6
1;Hombre;1;1200;6.5;No;Si;No;No;No;No;Si;No;13.705905;-88.9508;698;0;Si;Si;Si;Si;Si;Si;29;15;0.84392;4.95344
1;Hombre;0.35;200;4;No;Si;No;No;No;No;No;No;13.7431271;-88.945765;708;0;Si;No;Si;No;Si;Si;24;4;0.06512;0.53
1;Hombre;0.63;700;4;No;No;No;Si;No;Si;No;Si;13.3287584;-88.712133;13;0;Si;Si;Si;No;No;Si;25;92;0.30712;1.67
1;Hombre;0.3;200;5;No;Si;No;No;No;No;Si;No;13.7833838;-88.949414;637;0;Si;No;Si;Si;Si;No;29;113;0.13904;0.89
1;Hombre;0.2;200;4;No;No;No;No;Si;Si;No;No;13.7599096;-88.2089268;1105;0;Si;Si;Si;Si;Si;Si;28;0;0.03696;0.176
1;Hombre;1.5;1000;5;No;No;No;No;No;Si;No;No;13.903018;-89.050313;565;0;Si;Si;Si;Si;Si;No;26;96;0.9636;3.7532
1;Hombre;0.35;300;15;No;No;No;No;No;Si;No;No;13.3744292;-88.571558;147;0;No;Si;Si;No;Si;Si;23;39;0.09328;1.19
1;Hombre;1.25;500;6;No;Si;No;No;No;No;No;No;13.6111821;-88.907823;834;0;Si;Si;Si;Si;Si;Si;24;130;0.2728;3.23
1;Hombre;0.5;400;4;Si;Si;No;Si;No;No;No;Si;13.305181;-88.56554;25;0;Si;Si;Si;Si;No;Si;21;60;0.50864;2.43
1;Hombre;0.5;500;6;No;No;No;No;Si;Si;No;No;13.9468183;-88.168191;1025;0;Si;Si;Si;No;Si;Si;30;76;1.49688;8.478
1;Mujer;2;1800;8;No;No;No;No;Si;Si;No;No;13.673864;-89.434867;974;0;Si;No;No;Si;Si;Si;24;98;1.22408;5.89688
1;Hombre;0.7;600;6;No;No;No;No;Si;Si;No;No;13.8970974;-88.964602;346;0;Si;Si;Si;Si;Si;No;28;54;0.792;1.5136
1;Hombre;0.5;500;4;No;Si;No;No;No;No;No;No;13.7800257;-88.9539;606;0;No;No;No;No;Si;Si;24;30;0.11792;0.81
1;Mujer;1;721;3;Si;No;No;Si;No;No;No;Si;13.349501;-88.735722;15;0;Si;Si;Si;Si;Si;Si;30;138;0.88792;7.35
1;Hombre;0.7;500;6.2;No;No;No;No;No;Si;No;No;13.887518;-89.060708;577;0;Si;Si;Si;Si;Si;Si;28;45;0.34056;2.06
1;Hombre;1.4;1100;6;No;Si;No;No;No;No;Si;No;13.6004287;-88.875613;991;0;Si;Si;Si;Si;Si;Si;30;117;0.44616;3.46
1;Hombre;1;300;7;No;Si;No;No;No;No;No;No;13.60349;-88.9358;621;0;Si;Si;Si;No;Si;Si;21;32;0.16632;1.81
1;Hombre;0.35;300;6;No;Si;No;No;No;No;Si;No;13.740269;-88.990525;702;0;Si;Si;Si;Si;Si;Si;29;149;0.25784;1.79832
1;Hombre;0.7;500;4;No;No;No;No;No;Si;No;No;13.511638;-89.404716;42;0;Si;Si;Si;Si;Si;No;23;120;0.88;1.7688
1;Mujer;0.4;200;6;No;No;No;No;No;Si;No;No;13.7968783;-88.167235;714;0;Si;Si;Si;No;Si;Si;29;54;0.264;0.84
1;Hombre;3.5;2500;8;Si;Si;No;No;No;Si;No;No;13.70690167;-89.71488;220;100;Si;Si;Si;Si;Si;No;29;79;5.34952;28.20576
1;Hombre;0.25;180;7;No;Si;No;No;No;No;Si;No;13.685324;-88.962793;610;0;Si;Si;Si;Si;Si;Si;25;123;0.19448;1.34
1;Hombre;2;2000;3.6;Si;Si;No;No;No;No;No;No;13.47479817;-89.09598265;55;37.5;Si;Si;Si;Si;Si;No;23;38;1.19592;8.33
1;Hombre;0.03;30;10;Si;No;No;No;No;Si;No;No;13.5873975;-88.571213;49;0;Si;Si;Si;Si;Si;Si;21;141;0.05544;0.28776
1;Hombre;1.5;500;13;No;Si;No;No;No;No;No;No;13.32619212;-88.4192077;65;0;Si;Si;Si;No;Si;Si;24;122;0.19976;3.66
