Sexo_productor;Area_Ha;Cantidad_plantas_patron;Cantidad_plantas_injerto;Edad_plantas_patron;Edad_plantas_injerto;Densidad_plantas_Ha;Aluviales;Andisoles;Grumosoles;Halomorficos;Latosoles_arcillosos_acidos;Latosoles_arcillo_rojizos;Litosoles;Regosoles;Latitud;Longitud;Altura;Porcentaje_injertacion;Injertacion;Aplica_poda;Maneja_sombra;Fertilizacion_organica;Fertilizacion_quimica;Plagas_enfermedades;AT;Perdidas_qq;Produccion_qq
0;2;1900.0;0.0;16.0;;950.00;0;0;0;0;1;1;0;0;13.70007;-89.734594;192;0.00;0;;;;;;0;12.012;44.26
0;1;830.0;0.0;15.0;;830.00;1;1;0;0;0;0;0;0;13.735959;-89.670422;392;0.00;0;;;;;;1;2.68312;9.81
0;0.7;500.0;0.0;5.0;;714.29;0;0;0;0;0;0;1;0;13.888415;-88.89848;419;0.00;0;;;;;;0;0.8756;0.9944
0;0.7;200.0;0.0;6.0;;285.71;0;1;0;0;0;0;0;0;13.588849;-88.95356;446;0.00;0;;;;;;1;0.62392;7.22
0;0.35;300.0;0.0;4.0;;857.14;0;1;0;0;0;0;1;0;13.7020587;-88.95346;670;0.00;0;1;1;0;1;1;1;0.1584;1.22
0;0.5;125.0;0.0;4.0;;250.00;0;1;0;0;0;0;0;0;13.4879242;-88.352487;849;0.00;0;0;1;1;1;1;1;0.09592;0.45
0;0.7;525.0;0.0;6.0;;750.00;0;1;0;0;0;0;1;0;13.7682947;-89.683064;545;0.00;0;1;0;1;1;0;0;1.09736;3.4892
1;0.35;300.0;0.0;6.0;;857.14;0;0;0;0;0;0;1;0;13.8883438;-88.898359;420;0.00;0;;;;;;0;0.462;0.616
0;1;950.0;0.0;8.0;;950.00;1;0;0;0;0;1;1;0;13.694444;-89.658056;298;0.00;0;1;1;1;1;0;1;0.9592;3.81
0;2.5;200.0;0.0;5.0;;80.00;0;1;0;0;0;0;0;0;13.465375;-88.38033;490;0.00;0;1;1;1;0;1;1;0.36168;1.95
0;0.7;500.0;0.0;4.0;;714.29;0;1;0;0;0;0;1;0;13.8848598;-89.56451;929;0.00;0;;;;;;0;0.41448;3.18624
0;0.7;600.0;0.0;11.0;;857.14;0;0;0;0;1;1;0;0;13.7615;-89.4332;469;0.00;0;1;0;1;1;1;0;0.98384;4.39296
0;0.5;250.0;0.0;8.0;;500.00;0;1;0;0;0;0;0;0;13.4967631;-88.303741;714;0.00;0;1;1;1;1;1;1;0.09944;0.5
0;4;2520.0;0.0;4.0;;630.00;0;1;0;0;0;0;0;0;13.58846444;-88.94097729;554;0.00;0;1;1;1;1;1;1;0.46112;4.48
0;0.7;350.0;0.0;7.0;;500.00;0;0;0;0;0;0;1;0;13.768016;-89.623535;700;0.00;0;1;0;1;1;0;0;0.89848;2.50096
