Sexo productor;Area (Ha);Total arboles patron;Total de injertos;Edad Promedio plantas patron;Edad promedio plantas njerto;Edad promedio plantas patron;Edad promedio plantas injerto;Edad promedio plantas;Aluviales;Andisoles;Grumosoles;Halomorficos;Latosoles_arcillosos_acidos;Latosoles_arcillo_rojizos;Litosoles;Regosoles;Latitud;Longitud;Altura;Injertacion;Aplica poda;Maneja sombra;Fertilizacion organica;Fertilizacion quimica;Presencia plagas y enfermedades;recibe AT;Perdidas (qq);Produccion efectiva (qq)
Hombre;2;1250;750;4;3;4;3;3.6;Si;Si;No;No;No;No;No;No;13.47479817;-89.09598265;55;Si;Si;Si;Si;Si;Si;No;1.3728;10.52
Hombre;0.03;30;0;10;0;10;;10;Si;No;No;No;No;Si;No;No;13.5873975;-88.571213;49;No;Si;No;Si;No;Si;Si;0.09064;0.517647
Hombre;1.5;500;0;13;0;13;;13;No;Si;No;No;No;No;No;No;13.32619212;-88.4192077;65;No;Si;Si;No;Si;Si;Si;0.14432;4.81
Hombre;14;12500;1500;9;7;9;7;8.8;Si;Si;No;No;No;Si;No;No;13.75402833;-89.67589;469;Si;Si;Si;Si;Si;Si;No;57.4816;194.334875
Hombre;0.35;200;0;5;0;5;;5;No;Si;No;No;No;Si;No;No;13.8730354;-89.105913;819;No;Si;Si;Si;Si;Si;No;0.67584;1.716554
Hombre;1;800;0;4;0;4;;4;No;No;No;No;Si;Si;No;No;13.75545333;-88.19406833;920;No;Si;Si;Si;Si;Si;Si;0.33792;2.376
Mujer;0.09;100;0;4;0;4;;4;No;No;No;No;Si;Si;No;No;13.809893;-88.254601;928;No;Si;Si;Si;Si;Si;Si;0.07568;0.66
Hombre;5;3000;0;4;0;4;;4;No;Si;No;No;No;No;Si;No;13.6228;-89.2958;754;No;Si;Si;Si;Si;No;No;1.5356;8.103952
Hombre;0.5;400;0;5;0;5;;5;Si;Si;No;Si;No;No;No;Si;13.298781;-88.563582;25;No;Si;Si;Si;No;Si;Si;0.43912;2.56
Hombre;0.35;200;0;8;0;8;;8;No;Si;No;No;No;No;Si;No;13.379;-88.512;212;No;Si;Si;Si;Si;Si;Si;0.51128;2.97
Hombre;4.2;3600;200;5;4;5;4;4.9;No;Si;No;No;No;No;No;No;13.7744177;-89.17045;444;Si;Si;Si;Si;Si;Si;No;1.98704;11.73
Mujer;1;900;0;5;0;5;;5;No;No;No;No;Si;Si;No;No;13.7880068;-89.080402;654;No;Si;Si;Si;Si;No;No;1.2232;4.267816
Hombre;1.2;1200;0;6;0;6;;6;Si;No;Si;No;No;No;No;No;13.921778;-89.832917;8;No;Si;Si;Si;Si;No;No;3.7884;15.20311
Hombre;4.2;4000;0;5;0;5;;5;No;Si;No;No;No;No;No;No;13.725098;-89.031638;698;No;Si;Si;Si;Si;Si;Si;2.88464;17.05
Hombre;0.7;500;0;7;0;7;;7;No;Si;No;No;No;Si;No;No;13.8087419;-89.146634;486;No;Si;Si;Si;Si;No;No;1.0076;3.269496
Hombre;0.35;250;0;4;0;4;;4;No;No;Si;No;No;Si;No;No;13.9889806;-89.806507;542;No;Si;Si;Si;Si;Si;No;0.46904;1.576051
Hombre;0.35;300;0;4;0;4;;4;No;No;No;No;Si;Si;No;No;13.7826904;-89.075755;628;No;Si;Si;Si;Si;Si;No;0.38544;1.661092
Hombre;2.8;1800;0;6;0;6;;6;No;No;No;No;No;Si;No;No;13.8880355;-88.957344;399;No;Si;Si;Si;Si;No;No;0.8316;2.92563
Hombre;0.35;300;0;4;0;4;;4;No;Si;No;No;No;No;Si;No;13.7020587;-88.95346;670;No;Si;No;No;No;Si;Si;0.32472;2.03
Hombre;0.5;125;0;4;0;4;;4;No;Si;No;No;No;No;No;No;13.4879242;-88.352487;849;No;No;Si;Si;Si;Si;Si;0.14696;1.298
Hombre;0.7;525;0;6;0;6;;6;No;Si;No;No;No;No;Si;No;13.7682947;-89.683064;545;No;Si;Si;Si;Si;No;No;4.60328;11.489917
Hombre;1;950;0;8;0;8;;8;Si;No;No;No;No;Si;Si;No;13.694444;-89.658056;298;No;Si;Si;Si;Si;Si;No;3.70744;15.058739
Hombre;2.5;200;0;6;0;6;;6;No;Si;No;No;No;No;No;No;13.465375;-88.38033;490;No;Si;Si;Si;No;Si;Si;0.21384;1.44
Hombre;0.7;600;0;11;0;11;;11;No;No;No;No;Si;Si;No;No;13.7615;-89.4332;469;No;Si;No;No;Si;Si;No;1.13608;5.061849
