Sexo productor;Area (Ha);total arboles;Total de injertos;Edad promedio plantas patron;Edad promedio plantas injerto;Edad promedio plantas;Aluviales;Andisoles;Grumosoles;Halomorficos;Latosoles_arcillosos_acidos;Latosoles_arcillo_rojizos;Litosoles;Regosoles;Latitud;Longitud;Altura;Injertacion;Aplica poda;Maneja sombra;Fertilizacion organica;Fertilizacion quimica;Presencia plagas y enfermedades;recibe AT;Perdidas (qq);Produccion efectiva (qq)
Hombre;1.75;500;0;13;;13;No;No;No;No;Si;Si;No;No;13.3918;-88.5846;786.9;No;Si;Si;Si;Si;Si;Si;0.30008;9.266667
Mujer;0.7;450;0;4;;4;No;Si;No;No;No;No;No;No;13.521559;-88.45975;648;No;Si;Si;No;Si;No;Si;0.30536;1.61744
Hombre;0.2;50;0;5;;5;No;No;No;No;No;Si;No;No;13.7366037;-88.222612;1206;No;Si;Si;Si;Si;No;Si;0.0264;0.176
Hombre;0.4;0;300;;3;3;No;Si;No;No;No;No;No;No;13.4796117;-88.35549;896;Si;Si;Si;Si;Si;Si;Si;0.31768;1.6
Hombre;1;1200;0;6.5;;6.5;No;Si;No;No;No;No;Si;No;13.705905;-88.9508;698;No;Si;Si;Si;Si;Si;Si;0.84392;4.95344
Hombre;0.35;200;0;4;;4;No;Si;No;No;No;No;No;No;13.7431271;-88.945765;708;No;Si;No;Si;No;Si;Si;0.06512;0.53
Hombre;0.63;700;0;4;;4;No;No;No;Si;No;Si;No;Si;13.3287584;-88.712133;13;No;Si;Si;Si;No;No;Si;0.30712;1.67
Hombre;0.3;200;0;5;;5;No;Si;No;No;No;No;Si;No;13.7833838;-88.949414;637;No;Si;No;Si;Si;Si;No;0.13904;0.89
Hombre;0.2;200;0;4;;4;No;No;No;No;Si;Si;No;No;13.7599096;-88.2089268;1105;No;Si;Si;Si;Si;Si;Si;0.03696;0.176
Hombre;1.5;1000;0;5;;5;No;No;No;No;No;Si;No;No;13.903018;-89.050313;565;No;Si;Si;Si;Si;Si;No;0.9636;3.7532
Hombre;0.35;300;0;15;;15;No;No;No;No;No;Si;No;No;13.3744292;-88.571558;147;No;No;Si;Si;No;Si;Si;0.09328;1.19
Hombre;1.25;500;0;6;;6;No;Si;No;No;No;No;No;No;13.6111821;-88.907823;834;No;Si;Si;Si;Si;Si;Si;0.2728;3.23
Hombre;0.5;400;0;4;;4;Si;Si;No;Si;No;No;No;Si;13.305181;-88.56554;25;No;Si;Si;Si;Si;No;Si;0.50864;2.43
Hombre;0.5;500;0;6;;6;No;No;No;No;Si;Si;No;No;13.9468183;-88.168191;1025;No;Si;Si;Si;No;Si;Si;1.49688;8.478
Mujer;2;1800;0;8;;8;No;No;No;No;Si;Si;No;No;13.673864;-89.434867;974;No;Si;No;No;Si;Si;Si;1.22408;5.89688
Hombre;0.7;600;0;6;;6;No;No;No;No;Si;Si;No;No;13.8970974;-88.964602;346;No;Si;Si;Si;Si;Si;No;0.792;1.5136
Hombre;0.5;500;0;4;;4;No;Si;No;No;No;No;No;No;13.7800257;-88.9539;606;No;No;No;No;No;Si;Si;0.11792;0.81
Mujer;1;721;0;3;;3;Si;No;No;Si;No;No;No;Si;13.349501;-88.735722;15;No;Si;Si;Si;Si;Si;Si;0.88792;7.35
Hombre;0.7;500;0;6.2;;6.2;No;No;No;No;No;Si;No;No;13.887518;-89.060708;577;No;Si;Si;Si;Si;Si;Si;0.34056;2.06
Hombre;1.4;1100;0;6;;6;No;Si;No;No;No;No;Si;No;13.6004287;-88.875613;991;No;Si;Si;Si;Si;Si;Si;0.44616;3.46
Hombre;1;300;0;7;;7;No;Si;No;No;No;No;No;No;13.60349;-88.9358;621;No;Si;Si;Si;No;Si;Si;0.16632;1.81
Hombre;0.35;300;0;6;;6;No;Si;No;No;No;No;Si;No;13.740269;-88.990525;702;No;Si;Si;Si;Si;Si;Si;0.25784;1.79832
Hombre;0.7;500;0;4;;4;No;No;No;No;No;Si;No;No;13.511638;-89.404716;42;No;Si;Si;Si;Si;Si;No;0.88;1.7688
Mujer;0.4;200;0;6;;6;No;No;No;No;No;Si;No;No;13.7968783;-88.167235;714;No;Si;Si;Si;No;Si;Si;0.264;0.84
Hombre;3.5;0;2500;;8;8;Si;Si;No;No;No;Si;No;No;13.70690167;-89.71488;220;Si;Si;Si;Si;Si;Si;No;5.34952;28.20576
Hombre;0.25;180;0;7;;7;No;Si;No;No;No;No;Si;No;13.685324;-88.962793;610;No;Si;Si;Si;Si;Si;Si;0.19448;1.34
Hombre;2;1250;750;4;3;3.6;Si;Si;No;No;No;No;No;No;13.47479817;-89.09598265;55;Si;Si;Si;Si;Si;Si;No;1.19592;8.33
Hombre;0.03;30;0;10;;10;Si;No;No;No;No;Si;No;No;13.5873975;-88.571213;49;No;Si;Si;Si;Si;Si;Si;0.05544;0.28776
Hombre;1.5;500;0;13;;13;No;Si;No;No;No;No;No;No;13.32619212;-88.4192077;65;No;Si;Si;Si;No;Si;Si;0.19976;3.66
Hombre;14;12500;1500;9;7;8.8;Si;Si;No;No;No;Si;No;No;13.75402833;-89.67589;469;Si;Si;Si;Si;Si;Si;No;22.69784;102.35544
Hombre;0.35;200;0;5;;5;No;Si;No;No;No;Si;No;No;13.8730354;-89.105913;819;No;Si;Si;Si;Si;Si;No;0.374;0.572
Hombre;1;800;0;4;;4;No;No;No;No;Si;Si;No;No;13.75545333;-88.19406833;920;No;Si;Si;Si;Si;Si;Si;0.11176;0.924
Mujer;0.09;100;0;4;;4;No;No;No;No;Si;Si;No;No;13.809893;-88.254601;928;No;Si;Si;Si;Si;Si;Si;0.02376;0.11
Hombre;5;3000;0;4;;4;No;Si;No;No;No;No;Si;No;13.6228;-89.2958;754;No;Si;Si;Si;Si;Si;No;1.5312;4.90512
Hombre;0.5;400;0;5;;5;Si;Si;No;Si;No;No;No;Si;13.298781;-88.563582;25;No;Si;Si;Si;Si;No;Si;0.2552;1.59
Hombre;0.35;200;0;8;;8;No;Si;No;No;No;No;Si;No;13.379;-88.512;212;No;Si;Si;Si;Si;Si;Si;0.2332;1.36
Hombre;4.2;3600;200;5;4;4.9;No;Si;No;No;No;No;No;No;13.7744177;-89.17045;444;Si;Si;Si;Si;Si;Si;No;0.99088;5.99
Mujer;1;900;0;5;;5;No;No;No;No;Si;Si;No;No;13.7880068;-89.080402;654;No;Si;Si;Si;Si;Si;No;1.01552;2.29768
Hombre;1.2;1200;0;6;;6;Si;No;Si;No;No;No;No;No;13.921778;-89.832917;8;No;No;Si;Si;Si;No;No;1.22848;6.46712
Hombre;4.2;4000;0;5;;5;No;Si;No;No;No;No;No;No;13.725098;-89.031638;698;No;Si;Si;No;Si;Si;Si;1.27424;8.09
Hombre;0.7;500;0;7;;7;No;Si;No;No;No;Si;No;No;13.8087419;-89.146634;486;No;Si;Si;Si;Si;Si;No;0.8844;1.2892
Hombre;0.35;250;0;4;;4;No;No;Si;No;No;Si;No;No;13.9889806;-89.806507;542;No;Si;Si;Si;Si;Si;No;0.17424;0.94336
Hombre;0.35;300;0;4;;4;No;No;No;No;Si;Si;No;No;13.7826904;-89.075755;628;No;Si;Si;Si;Si;Si;No;0.44;0.5456
Hombre;2.8;1800;0;6;;6;No;No;No;No;No;Si;No;No;13.8880355;-88.957344;399;No;Si;Si;Si;Si;Si;No;0.858;1.4168
Hombre;0.35;300;0;4;;4;No;Si;No;No;No;No;Si;No;13.7020587;-88.95346;670;No;Si;Si;No;Si;Si;Si;0.1584;1.22
Hombre;0.5;125;0;4;;4;No;Si;No;No;No;No;No;No;13.4879242;-88.352487;849;No;No;Si;Si;Si;Si;Si;0.09592;0.45
Hombre;0.7;525;0;6;;6;No;Si;No;No;No;No;Si;No;13.7682947;-89.683064;545;No;Si;No;Si;Si;No;No;1.09736;3.4892
Hombre;1;950;0;8;;8;Si;No;No;No;No;Si;Si;No;13.694444;-89.658056;298;No;Si;Si;Si;Si;No;Si;0.9592;3.81
Hombre;2.5;200;0;5;;5;No;Si;No;No;No;No;No;No;13.465375;-88.38033;490;No;Si;Si;Si;No;Si;Si;0.36168;1.95
Hombre;0.7;600;0;11;;11;No;No;No;No;Si;Si;No;No;13.7615;-89.4332;469;No;Si;No;Si;Si;Si;No;0.98384;4.39296
Hombre;0.5;250;0;8;;8;No;Si;No;No;No;No;No;No;13.4967631;-88.303741;714;No;Si;Si;Si;Si;Si;Si;0.09944;0.5
Hombre;4;2520;0;4;;4;No;Si;No;No;No;No;No;No;13.58846444;-88.94097729;554;No;Si;Si;Si;Si;Si;Si;0.46112;4.48
Hombre;0.7;350;0;7;;7;No;No;No;No;No;No;Si;No;13.768016;-89.623535;700;No;Si;No;Si;Si;No;No;0.89848;2.50096
Mujer;0.8;200;0;4;;4;No;Si;No;No;No;No;No;No;13.3271388;-88.55634;54;No;Si;Si;Si;Si;No;Si;0.34672;1.75
Mujer;0.3;250;0;3;;3;No;No;No;No;Si;Si;No;No;13.6808831;-88.925614;595;No;Si;Si;Si;Si;Si;Si;0.11968;0.88
Hombre;1;150;0;5;;5;No;Si;No;No;No;No;No;No;13.6673144;-88.959564;480;No;Si;Si;Si;Si;Si;Si;0.1848;2.02
Hombre;1;500;0;6;;6;Si;Si;No;No;No;No;Si;No;13.44464;-89.199369;4;No;Si;Si;Si;Si;Si;No;1.2408;1.7776
Mujer;0.7;600;0;5;;5;No;No;No;No;Si;Si;No;No;13.7800295;-89.117737;613;No;Si;Si;Si;Si;Si;No;0.88;0.946
Hombre;2;1800;0;6;;6;Si;Si;No;No;No;Si;No;No;13.7034896;-89.714855;215;No;Si;Si;Si;Si;Si;No;3.18384;15.97816
Hombre;0.5;125;0;4;;4;No;No;No;No;No;Si;No;No;13.54536333;-88.434485;502;No;Si;Si;No;Si;Si;Si;0.396;2.3
Hombre;1;900;0;11;;11;No;No;No;No;No;Si;No;No;13.925955;-88.643236;584;No;Si;No;No;No;No;Si;0.53944;3.52
Hombre;0.18;200;0;5;;5;No;No;No;No;Si;Si;No;No;13.788315;-88.239635;1095;No;Si;No;Si;Si;Si;Si;0.1056;0.374
Hombre;1.5;470;0;4;;4;Si;No;No;No;No;Si;No;No;13.836;-88.602277;585;No;Si;Si;Si;Si;Si;Si;0.57024;3.07912
Hombre;0.3;135;15;3.4;3;3.4;No;No;No;No;Si;Si;No;No;13.754174;-88.2049;972;Si;Si;Si;Si;Si;Si;Si;0.20328;0.726
Hombre;7.35;0;8158;;6.7;6.7;Si;Si;No;No;No;No;No;No;13.73114229;-89.4359705;491;Si;Si;Si;Si;Si;Si;Si;29.8716;160.54192
Hombre;10;6000;1500;5;3;4.6;No;No;No;No;No;Si;Si;No;13.7869;-89.5164;591;Si;Si;Si;Si;Si;No;No;0.69344;3.4584
Hombre;4.9;2500;0;6;;6;No;Si;No;No;No;No;Si;No;14.15520573;-89.6863274;1001;No;Si;No;Si;Si;Si;No;4.64552;13.25544
Hombre;2.8;1600;400;5;3;4.6;No;Si;No;No;No;Si;No;No;13.928297;-89.812753;760;Si;Si;Si;Si;Si;Si;No;2.7324;13.3628
Hombre;2.5;450;0;6;;6;No;Si;No;No;No;Si;Si;No;13.42902249;-88.5109981;459;No;Si;Si;Si;No;Si;Si;0.12496;1.74
Hombre;0.5;165;0;4.7;;4.7;No;Si;No;No;No;No;Si;No;13.4943867;-88.404348;690;No;Si;Si;No;No;Si;Si;0.968;5.05
Hombre;1.2;1200;0;5.5;;5.5;No;Si;No;No;No;No;Si;No;13.687212;-88.962839;618;No;Si;Si;Si;Si;No;Si;0.41184;2.61
Hombre;0.3;250;0;5;;5;No;Si;No;No;No;No;No;No;13.285;-88.2326;163;No;Si;Si;No;No;Si;Si;0.572;3.3
Hombre;4.8;900;0;7;;7;No;Si;No;No;No;No;No;No;13.5809892;-88.935497;547;No;No;Si;No;Si;Si;Si;0.242;2.9
Mujer;0.3;250;0;5;;5;No;Si;No;No;No;No;Si;No;13.7832958;-88.949438;637;No;Si;Si;Si;Si;Si;Si;0.15488;1.12
Hombre;2.1;1300;0;5;;5;No;Si;No;No;No;No;No;No;13.616475;-89.14967;809;No;Si;Si;Si;Si;Si;Si;0.27368;7.01
Hombre;1;510;0;6;;6;Si;Si;No;No;No;No;No;No;13.715614;-89.45728;731;No;Si;No;Si;Si;Si;Si;0.18216;0.86416
Hombre;0.4;300;0;5;;5;No;Si;No;No;No;No;No;No;13.2842;-88.2431;225;No;Si;Si;No;No;Si;Si;0.34936;1.97
Hombre;0.2;150;0;4;;4;No;Si;No;No;No;No;Si;No;13.5007183;-88.39713;629;No;Si;Si;No;No;Si;Si;0.8316;4.5
Hombre;0.12;125;0;7;;7;No;Si;No;No;No;No;No;No;13.697574;-89.462228;645;No;Si;No;No;Si;Si;Si;0.13992;0.76384
Mujer;1.5;400;0;5;;5;No;No;No;No;No;Si;No;No;13.8880791;-88.959215;379;No;Si;Si;Si;Si;Si;No;0.6116;0.8624
Mujer;2.5;400;0;6;;6;No;No;No;No;Si;Si;No;No;13.505021;-88.32357;729;No;Si;Si;Si;Si;No;Si;0.45936;2.31
Hombre;1.5;80;0;6;;6;No;Si;No;No;No;No;No;No;13.6048378;-88.92514;666;No;Si;Si;Si;No;Si;Si;0.22352;1.14
Hombre;9.8;0;10800;;8;8;No;Si;No;No;No;No;Si;No;13.654061;-88.843377;574;Si;Si;Si;Si;Si;Si;Si;7.42544;41.15408
Hombre;0.35;0;200;;6;6;No;Si;No;No;No;Si;No;No;13.8726285;-89.172373;443;Si;Si;Si;Si;Si;Si;No;0.1496;0.35904
Hombre;3.5;1433;0;8;;8;No;Si;No;No;No;No;No;No;13.8999875;-89.856238;887;No;Si;Si;Si;Si;Si;No;4.97904;23.21968
Hombre;4.19;3150;2000;6;5;5.6;Si;No;No;Si;No;No;No;Si;13.3342009;-88.7724;9;Si;Si;Si;Si;Si;Si;Si;1.22056;10.9
Mujer;0.7;300;0;3;;3;No;Si;No;No;No;No;No;No;13.7978;-89.1142;584;No;Si;Si;Si;Si;Si;No;0.4532;0.8932
Hombre;1.85;0;2025;;4;4;No;No;No;No;Si;Si;No;No;13.9016608;-89.542454;997;Si;Si;No;Si;Si;Si;No;4.5056;12.8744
