Año;Sexo productor;Area (Ha);Arboles_totales;Edad promedio plantas;Aluviales;Andisoles;Grumosoles;Halomorficos;Latosoles_arcillosos_acidos;Latosoles_arcillo_rojizos;Litosoles;Regosoles;Latitud;Longitud;Altura;Porcentaje_Injertacion;Aplica poda;Maneja sombra;Fertilizacion organica;Fertilizacion quimica;Presencia plagas y enfermedades;recibe AT;Perdidas (qq);Produccion efectiva (qq)
1;Hombre;3.5;2500.0;8.0;Si;Si;No;No;No;Si;No;No;13.70690167;-89.71488;220;100.00;Si;Si;Si;Si;Si;No;5.34952;28.20576
1;Hombre;0.25;180.0;7.0;No;Si;No;No;No;No;Si;No;13.685324;-88.962793;610;0.00;Si;Si;Si;Si;Si;Si;0.19448;1.34
1;Hombre;2;2000.0;3.6;Si;Si;No;No;No;No;No;No;13.47479817;-89.09598265;55;37.50;Si;Si;Si;Si;Si;No;1.19592;8.33
1;Hombre;0.03;30.0;10.0;Si;No;No;No;No;Si;No;No;13.5873975;-88.571213;49;0.00;Si;Si;Si;Si;Si;Si;0.05544;0.28776
1;Hombre;1.5;500.0;13.0;No;Si;No;No;No;No;No;No;13.32619212;-88.4192077;65;0.00;Si;Si;Si;No;Si;Si;0.19976;3.66
1;Hombre;0.35;200.0;5.0;No;Si;No;No;No;Si;No;No;13.8730354;-89.105913;819;0.00;Si;Si;Si;Si;Si;No;0.374;0.572
1;Hombre;1;800.0;4.0;No;No;No;No;Si;Si;No;No;13.75545333;-88.19406833;920;0.00;Si;Si;Si;Si;Si;Si;0.11176;0.924
1;Mujer;0.09;100.0;4.0;No;No;No;No;Si;Si;No;No;13.809893;-88.254601;928;0.00;Si;Si;Si;Si;Si;Si;0.02376;0.11
1;Hombre;5;3000.0;4.0;No;Si;No;No;No;No;Si;No;13.6228;-89.2958;754;0.00;Si;Si;Si;Si;Si;No;1.5312;4.90512
1;Hombre;0.5;400.0;5.0;Si;Si;No;Si;No;No;No;Si;13.298781;-88.563582;25;0.00;Si;Si;Si;Si;No;Si;0.2552;1.59
