No.;Sexo productor;Área (Ha);Patron_Arboles_1;Patron_Edad_1;Patron_Arboles_2;Patron_Edad_2;Patron_Arboles_3;Patron_Edad_3;Patron_Arboles_4;Patron_Edad_4;Injerto_Arboles_1;Injerto_Edad_1;Injerto_Arboles_2;Injerto_Edad_2;Injerto_Arboles_3;Injerto_Edad_3;Injerto_Arboles_4;Injerto_Edad_4;Edad promedio plantas patron;Edad promedio plantas injerto;Edad promedio plantas;Densidad (plantas/Ha);Aluviales;Andisoles;Grumosoles;Halomorficos;Latosoles_arcillosos_acidos;Latosoles_arcillo_rojizos;Litosoles;Regosoles;Latitud;Longitud;Altura;Porcentaje injertación;Aplica poda;Maneja sombra;Fertilización orgánica;Fertilización química;Presencia plagas y enfermedades;recibe AT;Perdidas (qq);Produccion efectiva (qq)
82;Hombre;0.7;600;6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;6;NA;6;857.14285714285722;0;0;0;0;1;1;0;0;13.8970974;-88.964601999999999;346;0;Si;Si;Si;Si;Si;No;0.79200000000000004;1.5136000000000001
83;Hombre;0.5;500;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;NA;4;1000;0;1;0;0;0;0;0;0;13.780025699999999;-88.953900000000004;606;0;No;No;No;No;Si;Si;0.11792;0.81
84;Mujer;1;721;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;NA;3;721;1;0;0;1;0;0;0;1;13.349501;-88.735721999999996;15;0;Si;Si;Si;Si;Si;Si;0.88792000000000004;7.35
85;Hombre;0.7;200;5;300;7;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;6.2;NA;6.2;714.28571428571433;0;0;0;0;0;1;0;0;13.887518;-89.060708000000005;577;0;Si;Si;Si;Si;Si;Si;0.34055999999999997;2.06
86;Hombre;2.5;2300;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;NA;3;920;1;1;0;0;0;0;0;0;13.736198999999999;-89.667458999999994;389;0;NA;NA;NA;NA;NA;Si;8.4691200000000002;33.380000000000003
87;Hombre;1.4;1100;6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;6;NA;6;785.71428571428578;0;1;0;0;0;0;1;0;13.6004287;-88.875613000000001;991;0;Si;Si;Si;Si;Si;Si;0.44616;3.46
88;Hombre;1;300;7;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;7;NA;7;300;0;1;0;0;0;0;0;0;13.603490000000001;-88.9358;621;0;Si;Si;Si;No;Si;Si;0.16632;1.81
89;Hombre;0.5;100;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;NA;4;200;0;1;0;0;0;0;0;0;13.482555;-88.386229999999998;637;0;NA;NA;NA;NA;NA;Si;0.53151999999999999;2.9
90;Hombre;0.35;300;6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;6;NA;6;857.14285714285722;0;1;0;0;0;0;1;0;13.740269;-88.990525000000005;702;0;Si;Si;Si;Si;Si;Si;0.25784000000000001;1.7983199999999999
91;Hombre;0.7;500;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;NA;4;714.28571428571433;0;0;0;0;0;1;0;0;13.511638;-89.404715999999993;42;0;Si;Si;Si;Si;Si;No;0.88;1.7687999999999999
