Sexo productor,Área (Ha),Edad promedio plantas,Densidad (plantas/Ha),Tipo suelo,Latitud,Longitud,Altura,Porcentaje injertación,Aplica poda,Maneja sombra,Fertilización orgánica,Fertilización química,Presencia de plagas/ enfermedades,Recibe AT,Perdidas (qq),Produccion efectiva (qq)
Mujer,2.8,4,714.29,Latosoles Arcillo Rojizos,13.423105,-88.642712,140.851196,75,1,0,Si,Si,0,1,0.17336,3.45
Mujer,2.25,4.9,1111.11,"Latosoles Arcillo Rojizos, Latosoles Arcillosos Acidos",13.78356,-88.266516,863.904785,8,1,1,Si,Si,0,1,3.60624,18.05
Hombre,0.09,5,1111.11,"Andisoles, Litosoles",13.431652,-88.227812,363.639282,0,1,1,Si,Si,1,1,0.12936,0.65
Hombre,0.95,6,1080,"Latosoles Arcillo Rojizos, Aluviales",13.77131,-90.094228,3.672699,0,0,1,Si,Si,1,0,0.24816,1.57696
Hombre,0.49,5,102.04,Aluviales,13.3822,-89.0621,14,0,1,1,Si,Si,0,0,0.066,0.41
Mujer,0.3,4,1000,Andisoles,13.478166,-88.376128,671.532488,0,1,1,No,No,0,1,0.64592,3.4
Hombre,0.3,5.8,833.33,Andisoles,13.483074,-88.402101,811.579346,11.4,1,1,Si,Si,0,1,0.66528,3.5
Mujer,0.45,5.4,622.22,Andisoles,13.600215,-88.958562,470.024597,32.1,1,1,Si,Si,0,1,0.2904,1.98
Hombre,1,4.2,2054,Latosoles Arcillo Rojizos,13.82956,-89.44716,568.3,0,1,0,No,Si,0,1,0.13112,0.57288
Hombre,0.85,5,630.59,Latosoles Arcillo Rojizos,13.557254,-89.467314,492.89978,0,1,1,Si,Si,0,0,0.6556,1.5004
Hombre,1,4,700,"Latosoles Arcillo Rojizos, Aluviales",13.82338,-89.45343,533,100,1,0,No,Si,0,1,0.64592,3.05888
Hombre,29.73,5,631.18,"Latosoles Arcillo Rojizos, Andisoles",13.810922,-89.91518,652,0,0,1,Si,Si,1,0,2.67696,14.60712
Hombre,0.35,5,1000,"Latosoles Arcillo Rojizos, Andisoles",13.510648,-88.330879,716.339355,8.6,1,1,Si,Si,1,1,0.14256,0.74
Hombre,1.2,5,833.33,"Andisoles, Litosoles",13.489283,-88.40789,757.248779,10,1,1,Si,Si,0,1,0.9504,5.1
Hombre,30.22,4,1015.88,"Latosoles Arcillo Rojizos, Aluviales",13.846693,-89.358579,418.727783,100,1,0,No,Si,0,1,26.37096,134.19032
Hombre,0.99,6,1010.1,"Andisoles, Litosoles",13.768624,-89.684552,529.891235,0,1,0,Si,Si,1,1,2.27304,3.53936
Hombre,1.5,5,1000,"Regosoles y Halomorficos, Andisoles, Aluviales",13.297634,-88.564665,6.024231,20,0,1,No,No,1,1,3.02456,16.4096
Hombre,2.1,4.2,857.14,"Latosoles Arcillo Rojizos, Andisoles",13.622105,-88.773509,417.611389,72.2,1,1,Si,Si,0,1,0.858,5.21
Mujer,0.69,5,1014.49,"Latosoles Arcillo Rojizos, Andisoles",13.77869,-89.764573,613.472412,0,1,1,Si,Si,0,0,0.28336,2.17008
Mujer,1.4,4,642.86,"Regosoles y Halomorficos, Aluviales",13.362228,-88.770385,-12.910645,100,1,1,Si,Si,0,1,1.05512,11.9
Hombre,0.25,5,500,"Latosoles Arcillo Rojizos, Andisoles",13.774106,-89.814114,503.789612,0,1,0,Si,Si,0,0,0.0088,0.05896
Hombre,3.72,5.5,1078.23,"Andisoles, Litosoles",13.760435,-89.597105,625,48.4,1,1,Si,Si,1,0,0.15136,0.41976
Hombre,0.7,5,892.86,"Andisoles, Litosoles",13.479195,-88.56125,806.851074,0,1,1,Si,Si,0,1,0.29216,1.49392
Mujer,0.7,4.2,571.43,Andisoles,13.533234,-88.944115,141.021729,20,1,1,Si,Si,0,1,0.07392,0.39
Mujer,0.35,5,571.43,Andisoles,13.602224,-88.953307,531.007202,50,1,1,Si,Si,0,1,0.13024,1.34
Mujer,0.45,4,888.89,"Latosoles Arcillo Rojizos, Grumosoles",13.722202,-88.228995,981.447999,0,1,1,Si,Si,0,1,0.22352,0.946
Mujer,0.7,6,857.14,Andisoles,13.805852,-89.732344,675,0,1,0,Si,Si,0,0,0.69344,5.052
Hombre,4,4.6,456.75,"Regosoles y Halomorficos, Aluviales",13.739763,-90.081807,6.86441,100,0,1,Si,No,1,0,2.13136,11.60984
Hombre,1.4,4,785.71,"Regosoles y Halomorficos, Aluviales",13.34157,-88.72979,24,100,1,1,Si,Si,0,1,1.0692,8.35
Mujer,1.58,5,712.03,"Latosoles Arcillo Rojizos, Aluviales",13.844843,-89.376432,439.518555,100,1,0,No,Si,0,1,0.99,4.87432
Hombre,2.8,6,642.86,"Latosoles Arcillo Rojizos, Andisoles, Litosoles",13.414661,-88.505631,379,0,1,1,Si,Si,0,1,0.19008,8.83
Hombre,0.49,5,1020.41,"Andisoles, Litiosoles",13.439872,-88.301279,818.55494,0,1,1,Si,Si,1,1,0.04224,0.22
Hombre,0.4,5.8,1000,"Latosoles Arcillo Rojizos, Andisoles",13.559301,-88.390322,371.607666,12.5,1,1,Si,Si,0,1,0.5632,3.3
Hombre,4.2,7,476.19,"Latosoles Arcillo Rojizos, Andisoles",13.455366,-88.559089,620.978271,0,0,1,Si,Si,0,0,0.24376,4.82
Hombre,1.26,5,1000,"Latosoles Arcillo Rojizos, Aluviales, Andisoles",13.702324,-89.710528,213.509888,0,1,1,Si,Si,0,0,1.39304,6.86048
Mujer,0.21,5,952.38,"Latosoles Arcillo Rojizos, Andisoles",13.525728,-88.447384,588.463498,0,1,1,No,Si,0,1,0.286,1.72
Hombre,0.18,6,111.11,Latosoles Arcillo Rojizos,13.830761,-88.160458,375.886414,0,1,1,Si,No,0,1,0.04576,0.2
Hombre,0.18,4,1111.11,"Latosoles Arcillosos Acidos, Latosoles Arcillo Rojizos",13.819345,-88.25862,771.823608,0,0,0,Si,Si,0,1,0.05456,0.22
Mujer,0.32,5,759.38,"Latosoles Arcillo Rojizos, Grumosoles",13.709652,-89.843465,208.101562,0,0,1,Si,No,0,0,0.13992,0.7172
