Sexo productor;Area (Ha);Arboles_totales;Edad promedio plantas;Aluviales;Andisoles;Grumosoles;Halomorficos;Latosoles_arcillosos_acidos;Latosoles_arcillo_rojizos;Litosoles;Regosoles;Latitud;Longitud;Altura;Porcentaje_Injertacion;Aplica poda;Maneja sombra;Fertilizacion organica;Fertilizacion quimica;Presencia plagas y enfermedades;recibe AT;Perdidas (qq);Produccion efectiva (qq)
Hombre;4.19;4662;5.5;Si;No;No;Si;No;No;No;Si;13.3428121;-88.76537;11;49.33504934;Si;Si;Si;Si;Si;Si;1.3156;16.85
Hombre;1.4;700;6;No;No;No;No;No;Si;Si;No;13.8553367;-88.9424;544;0;Si;Si;Si;Si;Si;No;0.594;0.8976
Hombre;1.4;900;5;No;No;No;No;No;Si;No;No;13.8586584;-88.961333;532;0;Si;Si;Si;Si;Si;No;0.616;1.0912
Hombre;1.5;600;6;No;No;No;No;Si;Si;No;No;13.651274;-88.97704;706;0;Si;Si;Si;No;Si;Si;0.28424;2.65
Hombre;2;1800;8;Si;Si;No;No;No;No;No;No;13.687671;-89.436964;920;0;Si;No;No;Si;Si;Si;1.0912;5.59856
Hombre;2.1;1000;7;No;Si;No;No;No;No;No;No;13.81502667;-89.09967499;553;0;Si;Si;Si;Si;Si;No;1.5532;3.3396
Hombre;3.06;2000;6;No;Si;No;No;No;Si;No;No;13.9117;-89.829;849;0;Si;Si;Si;Si;Si;No;6.59736;31.10096
Hombre;2.19;1400;6;No;Si;No;No;No;Si;No;No;13.9081;-89.8261;882;0;Si;Si;Si;Si;Si;No;2.34168;10.46584
Hombre;1.17;800;6;No;Si;No;No;No;No;No;No;13.9393;-89.7366;850;0;Si;Si;Si;Si;Si;No;0.35288;1.73536
Hombre;1.88;1600;6;No;Si;No;No;No;Si;No;No;13.952;-89.7535;792;0;Si;Si;Si;Si;Si;No;0.19712;0.836
Hombre;1.4;800;7;No;No;No;No;No;Si;No;No;13.477184;-88.557883;838.891113;0;Si;Si;Si;Si;Si;No;0.26136;1.13608
Hombre;1.92;1600;5;No;Si;No;No;No;Si;No;No;13.947;-89.7549;778;0;Si;Si;Si;Si;Si;No;0.1672;0.88792
Hombre;4.75;3200;5;No;Si;No;No;No;Si;No;No;13.474195;-88.562206;745.705078;0;Si;Si;Si;Si;Si;No;0.23936;1.45112
Hombre;2.1;600;5;No;Si;No;No;No;No;No;No;13.480453;-88.5546;923.788818;0;Si;Si;Si;Si;Si;No;0.49984;2.99208
Mujer;1.28;300;7;No;Si;No;No;No;Si;No;No;13.8022;-89.8831;624;0;Si;No;Si;Si;Si;No;0.20328;1.9288
Hombre;1.31;800;5;No;Si;No;No;No;Si;No;No;13.7977;-89.8781;552;0;Si;No;Si;Si;Si;No;3.96088;2.37
Hombre;1.4;1200;7;No;No;No;No;Si;Si;No;No;13.9275;-89.8129;758;0;No;Si;Si;Si;No;No;1.81192;9.56208
Hombre;1.58;1600;5;No;Si;No;No;No;No;No;No;13.8066;-89.8619;693;0;Si;Si;Si;Si;Si;No;0.39512;2.7392
Mujer;16;16000;5.9;No;Si;No;No;No;No;No;No;13.8182;-89.8664;801;3.75;Si;Si;Si;Si;Si;No;9.34824;62.654
Mujer;1.31;1000;8;No;Si;No;No;No;Si;No;No;13.7827;-89.8502;631;0;Si;Si;Si;Si;Si;No;0.54824;5.27512
Hombre;3.12;2000;5;No;Si;No;No;No;Si;No;No;13.7999;-89.8777;545;0;Si;Si;Si;Si;Si;No;0.71896;7.70448
Hombre;1.4;1000;5;No;Si;No;No;No;Si;No;No;13.71254;-89.440208;537.973022;0;No;Si;Si;Si;Si;No;0.2816;1.79432
Hombre;2.1;1400;5;No;Si;No;No;No;Si;No;No;13.8192;-89.9463;616;0;No;Si;Si;Si;Si;No;0.1232;0.82456
Hombre;1.27;800;5;No;Si;No;No;No;Si;No;No;13.8215;-89.9481;660;0;No;Si;Si;Si;Si;No;0.11792;0.72776
Hombre;1.66;1000;5;No;Si;No;No;No;No;No;No;13.8137;-89.8001;1012;0;Si;No;Si;Si;Si;No;3.02368;2.9568
Hombre;7.22;6000;5;No;Si;Si;No;No;Si;No;No;14.1318;-89.6646;886;0;Si;No;Si;Si;Si;No;0.4928;1.40536
Hombre;1.26;1000;7;No;No;No;No;No;Si;No;No;14.0077;-89.6999;687;100;Si;No;Si;Si;Si;Si;1.936;5.53344
Mujer;2.12;1600;7;No;No;No;No;No;Si;No;No;14.0125;-89.7003;676;0;Si;No;Si;Si;Si;No;1.77848;5.07584
Hombre;5;4600;4;No;Si;No;No;No;No;Si;No;13.8993;-89.5712;1064;0;Si;No;Si;Si;Si;No;4.95176;14.02368
Hombre;5.03;3600;4.5;No;No;No;No;Si;Si;No;No;13.7293;-89.5007;640;0;Si;No;Si;Si;No;No;0.9592;4.46072
Hombre;2.1;1550;4.2;No;Si;No;No;No;Si;No;No;13.7437;-89.525;600;41.93548387;Si;No;Si;No;No;No;0.75416;2.97616
Hombre;2.1;1350;7.4;Si;Si;No;No;No;No;No;No;13.7411;-89.669;399;29.62962963;Si;Si;Si;No;No;Si;3.49712;14.38
Hombre;1.5;1300;5;No;No;No;No;No;Si;No;No;13.6759;-89.5517;590;0;Si;No;Si;No;Si;No;0.34672;1.5576
Hombre;3.5;3100;3;No;No;No;No;No;Si;No;No;13.6795;-89.5505;588;0;Si;Si;Si;Si;No;No;1.6016;8.0784
Hombre;4.82;1800;4;No;No;No;No;No;Si;No;No;13.6861;-89.5247;791;0;Si;No;Si;No;No;No;0.55352;2.15864
Hombre;11.9;8850;5.6;No;Si;No;No;No;No;No;No;13.7961;-89.7757;713;0;Si;Si;Si;Si;Si;No;7.91824;48.08408
Hombre;4.2;2700;7;No;Si;No;No;No;No;No;No;13.7976;-89.7758;709;0;Si;Si;Si;Si;Si;No;6.95024;29.8672
Hombre;2.26;1575;7;No;No;No;No;Si;Si;No;No;13.7856;-89.7664;711;0;Si;Si;Si;Si;Si;No;1.98352;9.98536
Hombre;1.71;1597;7;No;No;No;No;Si;Si;No;No;13.7752;-89.7682;644;0;Si;Si;Si;Si;Si;No;3.66696;16.17176
Hombre;2.27;1462;7;No;Si;No;No;No;Si;No;No;13.7755;-89.7711;650;0;Si;Si;Si;Si;Si;No;3.2164;13.88992
Hombre;1.4;800;6.1;No;Si;No;No;No;No;Si;No;13.46779;-88.545317;923;43.75;Si;Si;Si;No;Si;Si;0.12408;3.5
Hombre;4.89;4606;5.9;No;No;No;No;Si;Si;No;No;13.665129;-89.439548;1011.89025;0;Si;No;No;Si;Si;Si;6.5736;33.352
Hombre;2.5;2000;5;No;No;No;No;Si;Si;No;No;13.75422;-88.209925;1025.59863;0;Si;Si;Si;Si;Si;Si;3.34136;17.38
Mujer;1.5;780;5;No;Si;No;No;No;No;Si;No;13.429705;-88.562684;339.802673;48.71794872;Si;Si;Si;Si;Si;Si;0.11968;2.14
Hombre;1.05;320;4.9;No;Si;No;No;No;No;No;No;13.589253;-88.953141;447;37.5;Si;Si;Si;Si;Si;No;0.1848;1.23
Hombre;2.1;1200;6.3;No;Si;No;No;No;No;Si;No;13.50385;-88.519525;978;25;Si;Si;Si;Si;Si;No;0.1276;4.85
Hombre;1.05;500;6.6;No;Si;No;No;No;No;No;No;13.609161;-88.915679;718;20;Si;Si;Si;Si;Si;Si;0.15664;2.18
Mujer;2.8;2000;4;No;No;No;No;No;Si;No;No;13.423105;-88.642712;140.851196;75;Si;No;Si;Si;Si;Si;0.17336;3.45
Mujer;2.25;2500;4.9;No;No;No;No;Si;Si;No;No;13.78356;-88.266516;863.904785;8;Si;Si;Si;Si;Si;Si;3.60624;18.05
Hombre;29.73;18765;4.9;No;Si;No;No;No;Si;No;No;13.810922;-89.91518;652;0;No;Si;Si;Si;No;No;2.67696;14.60712
Hombre;1.2;1000;5;No;Si;No;No;No;No;Si;No;13.489283;-88.40789;757.248779;10;Si;Si;Si;Si;Si;Si;0.9504;5.1
Hombre;30.22;30700;3.7;Si;No;No;No;No;Si;No;No;13.846693;-89.358579;418.727783;100;Si;No;No;Si;Si;Si;26.37096;134.19032
Hombre;1.5;1500;5;Si;Si;No;Si;No;No;No;Si;13.297634;-88.564665;6.024231;20;No;Si;No;No;No;Si;3.02456;16.4096
Hombre;2.1;1800;4.2;No;Si;No;No;No;Si;No;No;13.622105;-88.773509;417.611389;72.22222222;Si;Si;Si;Si;Si;Si;0.858;5.21
Mujer;1.4;900;4;Si;No;No;Si;No;No;No;Si;13.362228;-88.770385;-12.910645;100;Si;Si;Si;Si;Si;Si;1.05512;11.9
Hombre;3.72;4011;5;No;Si;No;No;No;No;Si;No;13.760435;-89.597105;625;48.39192221;Si;Si;Si;Si;No;No;0.15136;0.41976
Hombre;1.4;700;5;No;Si;No;No;No;Si;No;No;13.515886;-88.446471;638.583371;0;Si;Si;No;No;Si;Si;1.2628;6.85
Hombre;4;1827;4.6;Si;No;No;Si;No;No;No;Si;13.739763;-90.081807;6.86441;100;No;Si;Si;No;No;No;2.13136;11.60984
Hombre;1.4;1100;4;Si;No;No;Si;No;No;No;Si;13.34157;-88.72979;24;100;Si;Si;Si;Si;Si;Si;1.0692;8.35
Mujer;1.58;1125;5;Si;No;No;No;No;Si;No;No;13.844843;-89.376432;439.518555;100;Si;No;No;Si;Si;Si;0.99;4.87432
