Fecha;Sexo productor;Area (Ha);Arboles_totales;Edad promedio plantas;Aluviales;Andisoles;Grumosoles;Halomorficos;Latosoles_arcillosos_acidos;Latosoles_arcillo_rojizos;Litosoles;Regosoles;Latitud;Longitud;Altura;Porcentaje_Injertacion;Aplica poda;Maneja sombra;Fertilizacion organica;Fertilizacion quimica;Presencia plagas y enfermedades;recibe AT;Perdidas (qq);Produccion efectiva (qq)
1;0;0.5;125;4;0;0;0;0;0;1;0;0;13.54536333;-88.434485;502;0;1;1;0;1;1;1;0.396;2.3
1;0;1;900;11;0;0;0;0;0;1;0;0;13.925955;-88.643236;584;0;1;0;0;0;0;1;0.53944;3.52
1;0;0.18;200;5;0;0;0;0;1;1;0;0;13.788315;-88.239635;1095;0;1;0;1;1;1;1;0.1056;0.374
1;0;1.5;470;4;1;0;0;0;0;1;0;0;13.836;-88.602277;585;0;1;1;1;1;1;1;0.57024;3.07912
1;0;0.3;150;3.4;0;0;0;0;1;1;0;0;13.754174;-88.2049;972;10;1;1;1;1;1;1;0.20328;0.726
1;0;4.9;2500;6;0;1;0;0;0;0;1;0;14.15520573;-89.6863274;1001;0;1;0;1;1;1;0;4.64552;13.25544
1;0;2.8;2000;4.6;0;1;0;0;0;1;0;0;13.928297;-89.812753;760;20;1;1;1;1;1;0;2.7324;13.3628
1;0;2.5;450;6;0;1;0;0;0;1;1;0;13.42902249;-88.5109981;459;0;1;1;1;0;1;1;0.12496;1.74
1;0;0.5;165;4.7;0;1;0;0;0;0;1;0;13.4943867;-88.404348;690;0;1;1;0;0;1;1;0.968;5.05
1;0;1.2;1200;5.5;0;1;0;0;0;0;1;0;13.687212;-88.962839;618;0;1;1;1;1;0;1;0.41184;2.61
1;0;0.3;250;5;0;1;0;0;0;0;0;0;13.285;-88.2326;163;0;1;1;0;0;1;1;0.572;3.3
1;0;4.8;900;7;0;1;0;0;0;0;0;0;13.5809892;-88.935497;547;0;0;1;0;1;1;1;0.242;2.9
1;1;0.3;250;5;0;1;0;0;0;0;1;0;13.7832958;-88.949438;637;0;1;1;1;1;1;1;0.15488;1.12
1;0;2.1;1300;5;0;1;0;0;0;0;0;0;13.616475;-89.14967;809;0;1;1;1;1;1;1;0.27368;7.01
1;0;1;510;6;1;1;0;0;0;0;0;0;13.715614;-89.45728;731;0;1;0;1;1;1;1;0.18216;0.86416
